#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,104.167123 ,4.773973 ,3.227397 ,5.429589 ,0.346301 ,83.233973 ,29.716164 ,6.705479 ,20.226849 ,11.158630 ,30.409863 ,21.681918 ,19.581918 ,18.667945 ,22.148493 ,37.730959 ,5.772055 ,15.216164 ,23.179178 ,39.928493 ,15.041096 ,37.261096 ,72.587397 ,40.194247 ,219.515616 ,457.063836 ,77.682192 ,2.482466 ,9.949589 ,63.969863 ,7.839726 ,219.551233 ,28.173425 ,45.989041 ,57.034247 ,141.937260 ,407.691507 ,164.014521 ,152.055342 ,216.838630 ,183.025753 ,233.441918 ,69.809863 ,67.129589 ,32.461370 
Sweden,20.815890 ,0.406027 ,0.218082 ,8.476164 ,0.073699 ,15.172603 ,1.564384 ,7.764110 ,16.761096 ,2.225753 ,9.138356 ,11.340548 ,5.484384 ,4.846027 ,10.910685 ,17.956712 ,7.707671 ,7.118904 ,28.963562 ,34.585753 ,7.085479 ,9.935342 ,28.635616 ,8.654521 ,90.633973 ,140.727671 ,31.818082 ,2.494247 ,2.330959 ,28.207945 ,5.115068 ,24.227123 ,28.503836 ,18.774247 ,55.063288 ,53.683014 ,116.553425 ,108.635890 ,50.131781 ,65.702466 ,76.402192 ,146.244932 ,17.663562 ,20.806027 ,0.771781 
Switzerland,12.463014 ,0.098356 ,0.865205 ,1.288219 ,0.054521 ,35.838356 ,3.211507 ,8.572877 ,6.737808 ,11.536164 ,9.260822 ,101.992877 ,7.807123 ,6.576712 ,4.669589 ,25.068493 ,58.114795 ,12.990685 ,33.594795 ,1.878082 ,5.558356 ,18.142466 ,24.746027 ,5.519726 ,99.169315 ,267.705753 ,33.216438 ,19.295342 ,6.365479 ,13.028219 ,7.664932 ,32.009589 ,9.215616 ,22.340822 ,45.214521 ,177.153151 ,140.183014 ,140.509863 ,53.792603 ,196.581370 ,11.038904 ,150.572603 ,20.124658 ,26.557260 ,6.636986 
Turkey,119.033973 ,2.897534 ,5.578630 ,14.952877 ,0.857534 ,52.829589 ,74.514521 ,5.082740 ,14.168767 ,8.880822 ,23.400822 ,4.787123 ,19.586027 ,24.851233 ,40.958904 ,29.979726 ,7.481370 ,13.398356 ,18.713699 ,24.473425 ,9.419726 ,29.398082 ,28.384384 ,18.615342 ,150.340274 ,258.584110 ,108.483562 ,11.861644 ,15.207671 ,37.356712 ,5.224110 ,65.306575 ,9.287123 ,19.123014 ,23.859726 ,62.946575 ,141.869041 ,47.228493 ,62.808493 ,101.343562 ,87.704932 ,51.691507 ,18.995068 ,19.987945 ,1.020822 
United Kingdom,42.627397 ,1.911781 ,66.792329 ,7.010685 ,4.514247 ,109.909589 ,25.221096 ,10.698904 ,35.006301 ,10.589315 ,41.509041 ,47.068767 ,28.949589 ,20.878904 ,14.716164 ,58.293973 ,49.579726 ,17.548767 ,58.809315 ,62.281918 ,44.773151 ,66.521918 ,99.016986 ,88.917534 ,450.323014 ,729.350137 ,106.126575 ,25.400274 ,20.410959 ,86.289589 ,44.188219 ,205.607671 ,118.207123 ,125.327397 ,215.264932 ,472.503014 ,942.655890 ,536.608767 ,368.149315 ,343.037808 ,396.576164 ,525.544384 ,112.256438 ,124.260274 ,21.193151 
United States,508.320548 ,11.706575 ,610.243288 ,99.490685 ,154.337534 ,654.908219 ,73.278630 ,110.255342 ,272.438356 ,486.583288 ,566.188767 ,452.348219 ,220.649315 ,182.130137 ,215.056986 ,423.775068 ,813.413699 ,174.528219 ,437.555616 ,411.869863 ,436.504658 ,394.130685 ,774.059452 ,183.536712 ,"2,319.138082 ","5,381.311781 ",833.827945 ,40.532877 ,318.524932 ,386.706849 ,260.775616 ,"1,526.572055 ","1,249.263014 ",867.472055 ,"1,609.697808 ","4,355.193973 ","6,871.955616 ","4,294.412603 ","2,199.538630 ","4,653.827397 ","2,993.330137 ","4,152.905205 ",582.751233 ,794.047671 ,60.188493 
Argentina,81.133699 ,5.331781 ,41.705205 ,9.332603 ,3.336164 ,55.632603 ,10.762466 ,2.747945 ,12.044110 ,4.905205 ,15.915616 ,8.003288 ,8.346575 ,8.556986 ,13.988767 ,8.454521 ,3.036712 ,3.381644 ,9.634247 ,9.015616 ,0.570411 ,5.462740 ,30.900822 ,10.049589 ,58.193425 ,184.345753 ,37.621096 ,1.226027 ,1.725753 ,9.733425 ,1.935342 ,28.941096 ,11.597534 ,15.140000 ,3.858630 ,59.239452 ,50.001644 ,38.006575 ,54.938356 ,99.684658 ,71.361918 ,72.817260 ,5.444110 ,26.796986 ,9.375890 
Brazil,221.340822 ,17.970137 ,69.264658 ,54.603288 ,4.840000 ,101.898904 ,41.906849 ,8.210137 ,29.352329 ,37.605205 ,36.912603 ,24.289589 ,20.698082 ,17.285479 ,23.471507 ,23.280000 ,10.892055 ,13.987671 ,26.212603 ,37.199452 ,9.511233 ,42.760000 ,94.333425 ,36.892603 ,178.604658 ,560.401370 ,121.293151 ,7.396712 ,7.307671 ,42.104932 ,14.691233 ,106.696712 ,18.794247 ,51.349589 ,81.160000 ,304.832603 ,436.698630 ,199.024658 ,151.792877 ,452.255342 ,292.205479 ,189.318082 ,14.970685 ,83.535342 ,54.658356 
Brunei,0.204384 ,0.007123 ,17.706301 ,0.136712 ,0.389041 ,0.052603 ,0.132877 ,0.006575 ,0.019452 ,3.419452 ,0.102740 ,0.000274 ,0.018904 ,0.038082 ,0.044110 ,0.015616 ,0.010685 ,0.023288 ,0.022740 ,0.000000 ,0.208219 ,0.020548 ,0.184932 ,0.136438 ,0.648219 ,1.903014 ,0.067671 ,0.214247 ,0.385205 ,0.112877 ,0.019452 ,0.278356 ,0.086575 ,0.596986 ,0.020822 ,2.301918 ,0.896712 ,0.825479 ,0.114247 ,4.401918 ,1.333973 ,0.584932 ,0.003288 ,0.038904 ,0.028493 
Bulgaria,5.969315 ,0.041918 ,0.843562 ,2.018904 ,0.022466 ,3.933151 ,2.298630 ,0.416164 ,0.996712 ,0.345753 ,1.246301 ,0.753425 ,1.307123 ,1.392603 ,1.374521 ,2.638630 ,0.683562 ,1.373151 ,1.862740 ,0.774795 ,0.305205 ,2.321918 ,4.965753 ,1.526849 ,6.458904 ,23.162740 ,5.070411 ,0.132055 ,0.267671 ,2.471233 ,0.532877 ,4.145753 ,1.475616 ,2.920548 ,6.102192 ,10.292055 ,16.352055 ,5.988767 ,4.033151 ,10.065479 ,6.128767 ,6.108493 ,1.775890 ,1.502740 ,0.212055 
Cambodia,11.656164 ,4.624384 ,0.000000 ,0.780274 ,0.183836 ,1.441096 ,10.247945 ,1.492055 ,0.295068 ,0.242466 ,0.169041 ,0.097534 ,0.272329 ,0.133151 ,0.441096 ,0.318082 ,0.538082 ,0.216438 ,0.281096 ,0.601370 ,0.127671 ,0.316164 ,0.180822 ,0.252329 ,5.047397 ,5.643288 ,1.666027 ,0.246575 ,0.242740 ,0.945479 ,0.393425 ,2.830685 ,0.363014 ,1.143836 ,0.225479 ,1.024384 ,2.361918 ,0.712877 ,0.524932 ,0.891781 ,0.920548 ,1.566849 ,0.601096 ,0.881918 ,0.000000 
China,"2,312.000274 ",263.224110 ,593.857808 ,247.312877 ,20.010959 ,"1,123.997808 ",568.781370 ,139.090411 ,326.281096 ,448.461918 ,873.239178 ,329.761918 ,300.301370 ,936.145205 ,"1,147.899178 ",599.684384 ,703.186575 ,499.471233 ,665.702192 ,652.958904 ,124.885205 ,316.040822 ,859.942740 ,194.253699 ,"2,496.483014 ","3,388.858904 ","1,022.659452 ",85.079726 ,107.598082 ,190.756164 ,131.493699 ,629.737260 ,109.369315 ,298.006575 ,687.896164 ,"2,691.542740 ","2,463.318356 ",769.047945 ,"1,123.289863 ","1,674.274521 ","1,296.075890 ",787.242466 ,249.193151 ,593.016164 ,0.000000 
Croatia,4.365205 ,0.406575 ,0.187945 ,0.281644 ,0.203562 ,4.979178 ,1.113699 ,0.889041 ,0.989589 ,1.754247 ,0.441918 ,1.204384 ,0.818630 ,1.192055 ,0.202740 ,2.427123 ,0.826027 ,0.937808 ,0.923014 ,0.276712 ,0.300548 ,1.655616 ,3.629315 ,1.812329 ,7.089863 ,16.836164 ,3.220000 ,0.588219 ,0.159452 ,1.864384 ,0.729589 ,9.013425 ,1.249589 ,2.571507 ,2.850685 ,8.504932 ,12.835068 ,8.163288 ,3.467123 ,7.583014 ,6.824932 ,6.903836 ,2.773973 ,2.293151 ,0.053699 
Cyprus,1.741613 ,0.152180 ,0.018446 ,0.040351 ,0.009223 ,1.372692 ,0.066483 ,0.229807 ,0.173700 ,0.019599 ,0.109523 ,0.557224 ,0.119515 ,0.501502 ,0.074553 ,0.436172 ,0.089924 ,0.050727 ,0.099147 ,0.019983 ,0.006533 ,0.605261 ,1.133278 ,0.651376 ,5.007330 ,9.029719 ,0.768969 ,2.432187 ,0.096457 ,2.363014 ,0.175237 ,5.783216 ,1.401130 ,1.446092 ,2.121294 ,7.411848 ,8.103574 ,6.587925 ,1.564070 ,7.089042 ,4.866295 ,3.211532 ,1.439559 ,1.414580 ,0.760130 
Ethiopia,68.369838 ,0.234855 ,0.032076 ,0.333188 ,0.039608 ,2.027725 ,1.250497 ,0.424021 ,0.539235 ,0.193586 ,0.723325 ,0.093680 ,0.291242 ,0.696505 ,0.364749 ,0.714345 ,0.863452 ,0.714105 ,1.584359 ,0.265760 ,0.744326 ,1.315533 ,0.223374 ,1.326091 ,45.244704 ,27.208831 ,4.409331 ,0.141541 ,0.175034 ,2.258901 ,0.059966 ,5.317681 ,0.328263 ,0.398680 ,0.513235 ,6.927804 ,0.061920 ,3.917567 ,3.966503 ,9.450324 ,7.568745 ,2.407225 ,0.197953 ,2.162651 ,2.539830 
Rwanda,0.154715 ,0.104065 ,0.000000 ,0.583393 ,0.000000 ,0.446009 ,0.609635 ,0.234313 ,0.041406 ,0.000000 ,0.031960 ,0.005358 ,0.011061 ,0.344100 ,0.005740 ,0.085500 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.177916 ,0.274353 ,0.104065 ,1.583046 ,2.368262 ,1.321063 ,0.009530 ,0.011813 ,0.133422 ,0.000000 ,0.498249 ,0.212810 ,0.149864 ,0.091427 ,0.649616 ,1.914161 ,0.570779 ,0.917662 ,1.538897 ,0.756835 ,0.488789 ,0.056839 ,0.471114 ,0.850117 
Egypt,74.481352 ,2.325660 ,15.378865 ,50.463388 ,7.724193 ,23.114325 ,22.198535 ,5.816486 ,3.593765 ,3.132353 ,3.405875 ,2.036971 ,3.129793 ,7.749352 ,3.032493 ,11.012161 ,0.488799 ,3.844339 ,0.552942 ,0.629530 ,0.226978 ,16.839182 ,7.328618 ,7.890447 ,39.647452 ,91.716519 ,50.829117 ,0.460797 ,0.644900 ,3.686706 ,1.085004 ,16.246835 ,0.860672 ,2.774200 ,1.093991 ,30.730156 ,4.589758 ,44.749478 ,20.290740 ,49.262544 ,12.338203 ,15.215526 ,0.719980 ,3.997859 ,1.107184 
India,"1,110.062740 ",78.128493 ,89.943836 ,31.120822 ,35.152877 ,126.125479 ,143.095890 ,17.323288 ,27.824384 ,81.824658 ,98.718904 ,76.110137 ,44.179178 ,72.103288 ,89.176438 ,47.135342 ,27.563836 ,39.672603 ,74.313699 ,86.342740 ,37.233151 ,42.463562 ,153.253425 ,35.017260 ,540.053425 ,747.510137 ,262.382192 ,3.963014 ,10.256164 ,55.976712 ,14.857808 ,68.478904 ,29.410685 ,63.490411 ,302.647671 ,374.672329 ,492.841096 ,26.934521 ,251.053973 ,425.057534 ,283.455342 ,116.080000 ,20.161096 ,125.594795 ,11.592329 
Indonesia,291.499178 ,74.257260 ,141.488767 ,77.400822 ,11.821918 ,152.688493 ,58.236986 ,13.676164 ,25.178082 ,56.602466 ,36.560000 ,4.265753 ,15.783836 ,15.869589 ,21.761370 ,45.503562 ,18.168219 ,15.491507 ,8.271507 ,46.724932 ,18.576164 ,13.795342 ,33.989589 ,1.928767 ,300.620274 ,371.724384 ,72.624110 ,12.179726 ,47.996438 ,16.712329 ,4.010685 ,79.414521 ,19.307671 ,74.337260 ,13.906849 ,118.592603 ,78.126027 ,9.017534 ,42.603288 ,104.298082 ,92.694247 ,30.414795 ,13.275342 ,28.104658 ,10.310137 
Hong Kong,0.492603 ,0.083014 ,0.000000 ,0.000000 ,0.209041 ,7.050685 ,0.726575 ,0.585205 ,0.364658 ,0.096712 ,0.104110 ,0.062740 ,0.000000 ,0.136986 ,0.077260 ,0.207123 ,0.141644 ,0.124110 ,0.129315 ,0.118904 ,0.055890 ,0.252055 ,6.416164 ,5.544658 ,42.448767 ,202.638082 ,18.144932 ,6.484658 ,26.458356 ,1.662740 ,3.075890 ,32.249041 ,5.979726 ,17.292329 ,11.209863 ,188.552329 ,143.796164 ,45.136164 ,9.748219 ,58.068767 ,42.558630 ,40.447123 ,7.245479 ,14.911233 ,12.780822 
Kazakhstan,20.718082 ,0.880548 ,61.642466 ,13.403288 ,3.065205 ,12.375890 ,0.584110 ,0.115616 ,0.575616 ,4.557534 ,1.876712 ,1.318630 ,0.851781 ,2.768219 ,19.808493 ,1.142466 ,0.110137 ,0.664932 ,0.641644 ,0.844384 ,0.404110 ,2.560548 ,7.911507 ,1.240548 ,26.116438 ,82.393151 ,31.188219 ,0.188767 ,1.932329 ,6.499178 ,0.452055 ,5.594247 ,1.533699 ,6.159452 ,1.707123 ,16.277534 ,38.100000 ,21.800822 ,10.900274 ,7.423562 ,13.173425 ,9.321096 ,3.577260 ,13.901644 ,0.349315 
Laos,8.312603 ,1.379726 ,0.356164 ,3.066027 ,0.061644 ,0.861370 ,0.626301 ,0.453973 ,0.010685 ,0.180548 ,0.086301 ,0.056712 ,0.027671 ,0.393973 ,1.119178 ,0.144658 ,0.016986 ,0.010959 ,0.000548 ,0.004658 ,0.001644 ,0.303014 ,2.830411 ,0.123288 ,3.089589 ,6.181918 ,0.766027 ,0.008493 ,0.110137 ,0.013699 ,0.137808 ,1.158356 ,0.100000 ,0.678356 ,0.102466 ,1.733699 ,2.387671 ,0.369041 ,0.174247 ,4.490411 ,0.664932 ,0.193425 ,0.196438 ,0.517808 ,0.200274 
Malaysia,69.816986 ,7.501918 ,81.429863 ,4.425479 ,8.039178 ,21.873425 ,4.277260 ,3.975890 ,6.681370 ,26.556438 ,19.835890 ,1.192603 ,8.920274 ,6.543014 ,5.829589 ,8.604110 ,45.740274 ,4.821370 ,5.429315 ,6.836986 ,3.514795 ,6.446575 ,19.127397 ,5.134247 ,33.188767 ,136.664384 ,8.447397 ,4.863562 ,4.463562 ,11.910411 ,1.376164 ,24.815068 ,4.832603 ,24.781370 ,11.901644 ,64.651507 ,31.085479 ,17.796164 ,8.176438 ,42.255890 ,34.352055 ,13.674247 ,6.486849 ,2.319178 ,99.938356 
Malta,0.251781 ,0.096164 ,0.019726 ,0.043014 ,0.019178 ,0.512329 ,0.043836 ,0.027671 ,0.241918 ,0.000274 ,0.036986 ,0.093151 ,0.226575 ,0.122192 ,0.001918 ,0.147397 ,0.456712 ,0.055616 ,0.026301 ,0.007123 ,0.198082 ,0.753973 ,0.285753 ,0.272055 ,1.272877 ,3.469315 ,0.261096 ,0.106849 ,0.200000 ,1.534521 ,0.111233 ,1.775068 ,0.249041 ,0.757260 ,1.361918 ,2.076164 ,1.787671 ,2.816712 ,2.431507 ,1.938904 ,1.890137 ,2.040548 ,4.867397 ,0.317260 ,0.075616 
Morocco,37.439726 ,3.046575 ,0.061096 ,6.861370 ,1.363014 ,19.528767 ,4.983288 ,0.475068 ,1.124932 ,0.000822 ,6.926027 ,2.706575 ,0.183836 ,3.791507 ,1.995342 ,1.940822 ,0.321370 ,3.373973 ,0.206027 ,2.219726 ,0.635068 ,1.729863 ,7.500548 ,1.322192 ,16.042192 ,25.430959 ,6.096986 ,0.905479 ,0.862740 ,3.333151 ,1.364110 ,6.789315 ,0.767945 ,5.155890 ,3.232329 ,13.745205 ,14.489589 ,8.879178 ,4.616438 ,27.261096 ,22.579452 ,10.100000 ,0.901918 ,1.387945 ,1.240000 
Myanmar,65.632877 ,13.030137 ,5.660274 ,2.107945 ,0.055342 ,9.328219 ,7.018904 ,1.035890 ,1.029589 ,1.703562 ,1.269863 ,0.742192 ,0.837808 ,1.379178 ,1.313151 ,1.145205 ,1.049863 ,0.672055 ,0.970959 ,1.339726 ,0.339726 ,1.916986 ,0.925205 ,0.211233 ,6.945205 ,15.640548 ,3.887397 ,1.481370 ,1.114521 ,1.353425 ,0.238356 ,4.566575 ,0.851233 ,3.559178 ,0.581096 ,4.150959 ,5.361918 ,3.082192 ,2.018630 ,6.008493 ,3.643288 ,4.399178 ,0.744110 ,1.261918 ,0.000000 
Peru,38.868493 ,2.681918 ,15.472877 ,35.492055 ,2.339178 ,21.386575 ,8.576438 ,1.773425 ,5.389863 ,6.320000 ,5.351233 ,1.184110 ,3.323836 ,7.082740 ,6.689589 ,4.783288 ,0.203562 ,0.956986 ,2.484932 ,0.848767 ,1.393973 ,7.493151 ,9.099452 ,2.385205 ,43.569315 ,65.330959 ,25.398356 ,0.657808 ,1.823836 ,7.578904 ,0.737260 ,25.742466 ,3.246849 ,8.390137 ,1.686575 ,29.787397 ,24.754521 ,14.544932 ,15.912055 ,33.551781 ,28.855068 ,16.683562 ,3.446575 ,10.177534 ,2.555616 
Philippines,100.151781 ,15.637534 ,3.983562 ,6.349041 ,0.621644 ,84.550137 ,12.678082 ,2.033425 ,2.404384 ,10.335616 ,7.658356 ,1.347945 ,2.517260 ,4.197534 ,3.718630 ,2.547123 ,30.255342 ,7.667945 ,2.039178 ,3.451507 ,1.882466 ,4.250411 ,37.451507 ,4.050137 ,32.991507 ,126.021644 ,19.404110 ,2.751781 ,3.943562 ,5.353973 ,0.609863 ,24.848219 ,4.025205 ,15.020822 ,12.292055 ,65.469315 ,45.397260 ,7.295616 ,25.673425 ,34.021644 ,30.990137 ,8.673151 ,10.911507 ,17.274795 ,0.000000 
Romania,28.101644 ,0.740000 ,4.179726 ,0.386301 ,0.411233 ,30.394247 ,10.296712 ,3.609315 ,2.829863 ,7.075616 ,3.460822 ,0.767671 ,5.535616 ,4.493699 ,5.221918 ,6.153151 ,3.315890 ,6.940000 ,5.717808 ,16.346575 ,2.747671 ,8.939452 ,16.784932 ,5.192603 ,36.321096 ,65.984110 ,29.852055 ,1.238904 ,0.609589 ,7.756164 ,1.475342 ,12.664658 ,5.581370 ,8.149863 ,21.875890 ,16.448493 ,49.530959 ,33.914247 ,16.996712 ,36.763836 ,23.247123 ,28.716986 ,9.508767 ,8.051507 ,3.969589 
Russia,142.768219 ,11.494521 ,462.793699 ,52.479178 ,27.206575 ,82.040000 ,10.004110 ,11.000274 ,18.687671 ,124.706027 ,43.678630 ,10.256712 ,10.749589 ,22.009315 ,103.655890 ,31.054795 ,22.916164 ,10.363562 ,15.251233 ,16.363562 ,33.972603 ,29.244110 ,108.530959 ,20.725479 ,233.500000 ,566.254521 ,168.278356 ,4.924384 ,13.406301 ,74.691233 ,7.240274 ,35.124658 ,13.712877 ,41.326027 ,46.306027 ,176.113425 ,385.220000 ,167.789589 ,93.104110 ,303.052603 ,128.478904 ,135.184384 ,39.306575 ,23.460822 ,26.094521 
Saudi Arabia,46.360822 ,0.755068 ,621.688219 ,9.553151 ,2.588767 ,37.696438 ,7.748219 ,2.660548 ,10.397534 ,72.158082 ,65.718356 ,0.967123 ,6.969315 ,13.751507 ,11.565753 ,14.041918 ,0.309315 ,9.664658 ,4.572329 ,2.366849 ,0.916164 ,9.809589 ,30.786301 ,4.592603 ,108.793699 ,166.064658 ,14.183014 ,1.983288 ,16.445205 ,14.660822 ,0.836438 ,21.299452 ,2.260548 ,70.030959 ,2.337260 ,76.630959 ,145.605479 ,17.475616 ,31.881096 ,195.475890 ,132.939726 ,69.315616 ,13.844932 ,23.084110 ,8.078630 
Singapore,0.306301 ,0.209589 ,0.000000 ,0.000000 ,0.000000 ,8.556986 ,1.068767 ,0.345753 ,2.953425 ,8.941096 ,43.877260 ,14.917260 ,1.806301 ,0.879726 ,1.086027 ,4.197808 ,44.795342 ,2.066301 ,17.151507 ,1.024658 ,16.078082 ,11.012055 ,8.030137 ,4.255342 ,45.955342 ,176.966027 ,12.615616 ,12.510959 ,9.736438 ,28.120000 ,1.747671 ,21.409315 ,7.008219 ,12.600000 ,20.976986 ,120.848493 ,81.401370 ,57.767945 ,56.230411 ,27.052603 ,32.446301 ,25.713973 ,10.423288 ,6.973699 ,6.581918 
South Africa,18.945753 ,1.942466 ,13.711233 ,38.913699 ,0.785205 ,25.643288 ,4.989589 ,2.082466 ,7.790959 ,13.655342 ,9.528219 ,2.131233 ,3.215890 ,3.763288 ,7.145205 ,6.308767 ,1.553425 ,3.095342 ,8.407671 ,8.852603 ,1.610685 ,2.340548 ,20.204384 ,11.411781 ,22.835068 ,99.466301 ,26.060000 ,0.650411 ,3.994521 ,11.406301 ,1.895616 ,10.419726 ,4.084658 ,20.656438 ,11.403288 ,64.779452 ,66.428767 ,37.817808 ,25.942192 ,79.598904 ,65.009041 ,45.787397 ,6.045753 ,3.236712 ,73.199726 
Taiwan,24.232055 ,4.075890 ,0.931507 ,1.799726 ,0.957534 ,22.091507 ,14.082740 ,1.199452 ,9.457534 ,16.477260 ,39.223836 ,3.904932 ,16.567397 ,9.730685 ,28.183562 ,28.977534 ,215.185753 ,14.378630 ,25.240822 ,12.380274 ,9.470685 ,7.056986 ,18.547123 ,9.812329 ,39.071781 ,281.563014 ,21.053425 ,2.912877 ,7.685479 ,14.807397 ,3.564384 ,38.538356 ,11.099452 ,23.861644 ,16.069315 ,107.518356 ,133.430137 ,35.603562 ,24.653699 ,106.633425 ,68.549041 ,48.443014 ,13.472329 ,29.190411 ,10.540274 
Thailand,103.588219 ,11.519726 ,24.946027 ,5.739726 ,2.046301 ,59.755616 ,37.407945 ,3.503014 ,7.306849 ,10.118630 ,27.056712 ,3.588767 ,16.239452 ,13.841096 ,8.237260 ,9.438904 ,46.312603 ,11.073973 ,11.527671 ,21.358630 ,6.069315 ,22.966027 ,52.889589 ,6.742740 ,27.618082 ,259.150411 ,22.485479 ,13.002466 ,8.180274 ,1.577260 ,5.666575 ,41.225205 ,7.340274 ,16.883836 ,4.565205 ,78.387397 ,37.420548 ,11.515068 ,14.332603 ,80.741644 ,56.364932 ,22.927123 ,3.479452 ,9.539178 ,7.918082 
Tunisia,9.443836 ,1.769863 ,2.983288 ,0.413151 ,0.266849 ,3.222740 ,3.845753 ,0.323562 ,0.466575 ,0.030137 ,0.812877 ,0.553151 ,0.249315 ,1.279726 ,0.220274 ,1.345205 ,0.962740 ,0.475890 ,1.076438 ,0.781096 ,0.171233 ,0.646027 ,0.447397 ,0.335616 ,4.191233 ,11.033425 ,4.454247 ,0.367671 ,0.452603 ,2.178630 ,0.829041 ,5.101096 ,0.454247 ,3.360000 ,1.008219 ,4.667397 ,6.402740 ,2.723014 ,1.698356 ,18.468219 ,0.269863 ,0.231233 ,0.163836 ,0.213699 ,0.372603 
Vietnam,80.136438 ,16.443836 ,42.624384 ,2.660822 ,0.619452 ,29.601918 ,45.675342 ,2.756438 ,5.074521 ,4.209589 ,8.571507 ,2.718082 ,8.232055 ,13.218356 ,8.321918 ,8.947945 ,13.383836 ,13.622740 ,2.800274 ,4.533699 ,4.071507 ,15.209041 ,17.869863 ,3.050959 ,32.980000 ,61.300822 ,9.325205 ,2.484110 ,2.398904 ,7.847945 ,1.264384 ,18.722466 ,1.915068 ,6.389589 ,2.083836 ,19.813151 ,20.056986 ,13.117534 ,3.802466 ,15.856164 ,19.329041 ,6.690411 ,5.913425 ,3.696164 ,0.685753 
